"search-number","evaluation","power-plants*","birth-rate*","polluting-rate*","planting-rate*","initial-population*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","10","0","0","5","0.1","50","0","10","0","0"
"1","20","16","0.02","5","0.1","90","0","10","0","0"
"1","30","13","0.09","5","0.07","20","856.2","10","856.2","823.7"
"1","40","3","0.04","5","0.04","60","0.3","10","856.2","823.7"
"1","50","19","0.05","5","0.06","70","22.5","10","856.2","823.7"
"1","60","9","0.07","5","0.02","0","0","10","856.2","823.7"
"1","70","13","0.01","5","0.04","80","0","10","856.2","823.7"
"1","80","16","0.04","5","0.06","100","6.9","10","856.2","823.7"
"1","90","13","0.07","5","0.07","90","428.8","10","856.2","823.7"
"1","100","0","0.09","5","0.08","90","148.3","10","856.2","823.7"
"1","110","19","0.1","5","0.05","0","0","10","856.2","823.7"
"1","120","8","0.07","5","0.03","40","32.3","10","856.2","823.7"
"1","130","1","0.07","5","0.1","40","13.9","10","856.2","823.7"
"1","140","3","0.06","5","0.04","60","6.3","10","856.2","823.7"
"1","150","16","0.1","5","0.02","10","4389.8","10","4389.8","2327.2"
"1","160","20","0.09","5","0.04","40","4925.8","10","4925.8","5062.3"
"1","170","4","0.07","5","0.1","60","56.9","10","4925.8","5062.3"
"1","180","15","0.08","5","0.02","80","1851.9","10","4925.8","5062.3"
"1","190","2","0.05","5","0.04","40","0","10","4925.8","5062.3"
"1","200","18","0","5","0.04","80","0","10","4925.8","5062.3"
"1","210","13","0.07","5","0.09","20","58.6","10","4925.8","5062.3"
"1","220","15","0.05","5","0.04","90","33.3","10","4925.8","5062.3"
"1","230","10","0","5","0.08","90","0","10","4925.8","5062.3"
"1","240","17","0.03","5","0.06","40","0.3","10","4925.8","5062.3"
"1","250","11","0.01","5","0.02","20","0","10","4925.8","5062.3"
"1","260","18","0","5","0.07","20","0","10","4925.8","5062.3"
"1","270","5","0.06","5","0.09","20","0.5","10","4925.8","5062.3"
"1","280","16","0","5","0.07","70","0.1","10","4925.8","5062.3"
"1","290","15","0.09","5","0.09","40","2517.8","10","4925.8","5062.3"
"1","300","7","0.05","5","0.09","30","0.5","10","4925.8","5062.3"
"1","310","0","0.03","5","0.05","40","0","10","4925.8","5062.3"
"1","320","0","0.04","5","0.06","50","0","10","4925.8","5062.3"
"1","330","0","0.06","5","0.06","40","0.9","10","4925.8","5062.3"
"1","340","5","0.09","5","0.04","100","1442.4","10","4925.8","5062.3"
"1","350","9","0.09","5","0.1","70","3641.4","10","4925.8","5062.3"
"1","360","8","0.07","5","0.08","0","0","10","4925.8","5062.3"
"1","370","5","0.02","5","0.06","30","0","10","4925.8","5062.3"
"1","380","10","0","5","0.08","0","0","10","4925.8","5062.3"
"1","390","14","0.07","5","0.09","0","0","10","4925.8","5062.3"
"1","400","17","0.03","5","0.01","70","0.4","10","4925.8","5062.3"
"1","410","18","0.09","5","0.08","50","5660.4","10","5660.4","6269"
"1","420","20","0.08","5","0.02","100","3735.7","10","5660.4","6269"
"1","430","14","0.02","5","0.06","100","0","10","5660.4","6269"
"1","440","6","0.09","5","0.07","40","753.1","10","5660.4","6269"
"1","450","2","0.04","5","0.02","70","0.2","10","5660.4","6269"
"1","460","6","0.07","5","0","80","60","10","5660.4","6269"
"1","470","4","0.09","5","0.02","100","1307.2","10","5660.4","6269"
"1","480","20","0.05","5","0.01","20","6.8","10","5660.4","6269"
"1","490","16","0.08","5","0.07","70","1957.8","10","5660.4","6269"
"1","500","11","0.08","5","0.02","90","1340.1","10","5660.4","6269"
